City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kitimat,CA,2021-08-07 01:03:06,54.0524,-128.6534,60.91,81,100,3.0
68,Gujar Khan,PK,2021-08-07 01:00:26,33.2558,73.3026,80.64,72,0,5.17
69,Boa Vista,BR,2021-08-07 01:02:20,2.8197,-60.6733,80.58,78,20,2.3
70,Vondrozo,MG,2021-08-07 01:03:06,-22.8167,47.2833,54.93,96,27,3.04
71,Manggar,ID,2021-08-07 01:03:07,-2.8833,108.2667,82.72,77,100,11.56
72,Olafsvik,IS,2021-08-07 01:03:07,64.8945,-23.7142,52.45,86,43,1.39
73,Ketchikan,US,2021-08-07 01:02:48,55.3422,-131.6461,59.83,82,80,6.67
74,Nikolskoye,RU,2021-08-07 01:03:07,59.7035,30.7861,59.4,94,100,8.61
75,Chuy,UY,2021-08-07 01:03:08,-33.6971,-53.4616,56.39,93,38,7.65
76,Mozhaysk,RU,2021-08-07 01:03:08,55.5019,36.0272,61.21,98,100,8.79
77,Bundaberg,AU,2021-08-07 01:00:21,-24.85,152.35,67.64,53,84,3.31
78,Leningradskiy,RU,2021-08-07 01:03:09,69.3833,178.4167,37.65,82,100,4.99
79,Ihosy,MG,2021-08-07 01:03:09,-22.4,46.1167,54.88,91,78,5.64
80,Saskylakh,RU,2021-08-07 01:03:09,71.9167,114.0833,45.77,84,100,8.93
81,Albany,US,2021-08-07 01:03:10,42.6001,-73.9662,74.23,78,28,2.39
82,Port Augusta,AU,2021-08-07 01:03:10,-32.5,137.7667,57.7,51,0,4.61
83,Pundaguitan,PH,2021-08-07 01:03:10,6.3711,126.1689,83.26,72,89,4.97
84,Udachnyy,RU,2021-08-07 01:01:28,66.4167,112.4,58.3,54,100,16.46
85,Isangel,VU,2021-08-07 01:03:11,-19.55,169.2667,74.66,59,7,13.58
86,Atuona,PF,2021-08-07 01:03:11,-9.8,-139.0333,78.22,77,16,16.67
87,Yate,GB,2021-08-07 01:03:12,51.5407,-2.4184,58.82,89,15,10.63
88,Buala,SB,2021-08-07 01:03:12,-8.145,159.5921,84.0,64,6,9.31
89,Alofi,NU,2021-08-07 01:03:12,-19.0595,-169.9187,75.69,71,8,7.11
90,Tuktoyaktuk,CA,2021-08-07 01:03:13,69.4541,-133.0374,40.15,81,100,16.02
91,Lorengau,PG,2021-08-07 01:01:18,-2.0226,147.2712,80.13,83,100,6.04
92,Bethel,US,2021-08-07 01:03:13,41.3712,-73.414,77.36,79,34,5.91
93,Poum,NC,2021-08-07 01:03:13,-20.2333,164.0167,68.77,63,100,5.08
94,Sao Gabriel Da Cachoeira,BR,2021-08-07 01:03:14,-0.1303,-67.0892,72.55,88,19,2.46
95,Gilbues,BR,2021-08-07 01:00:46,-9.8317,-45.3439,76.82,40,7,8.5
96,Nome,US,2021-08-07 01:03:14,64.5011,-165.4064,48.16,95,100,8.25
97,Talnakh,RU,2021-08-07 01:03:15,69.4865,88.3972,73.69,40,6,2.77
98,San Cristobal,VE,2021-08-07 01:02:29,7.7669,-72.225,64.85,98,34,3.65
99,Butaritari,KI,2021-08-07 01:03:15,3.0707,172.7902,84.16,62,0,10.11
100,Wielun,PL,2021-08-07 01:03:15,51.221,18.5696,48.88,69,4,3.33
101,Honiara,SB,2021-08-07 01:03:16,-9.4333,159.95,85.66,60,9,4.76
102,Iqaluit,CA,2021-08-07 01:02:00,63.7506,-68.5145,44.33,76,90,6.91
103,Enshi,CN,2021-08-07 01:03:16,30.3,109.4833,78.78,90,100,1.19
104,Havelock,US,2021-08-07 01:03:16,34.8791,-76.9013,78.94,94,1,3.44
105,Boyolangu,ID,2021-08-07 01:03:17,-8.1181,111.8935,79.97,74,13,2.24
106,Bengkulu,ID,2021-08-07 01:03:17,-3.8004,102.2655,78.19,83,25,2.13
107,Esperance,AU,2021-08-07 01:03:17,-33.8667,121.9,57.33,55,0,19.46
